Filename,Source,Duration (s),Character,,,,Emotion
Copy of happiness_hvtt 1.27-00.00.57.016-00.01.01.043-seg3.wav,VNEMOS,5.89,Nam,,,,Happiness
Copy of happiness_hvtt 1.27-00.01.30.887-00.01.37.497-seg4.wav,VNEMOS,7.27,Nữ,,,,Happiness
Copy of happiness_hvtt 1.27-00.03.18.158-00.03.27.767-seg5.wav,VNEMOS,11.65,Nữ,,,,Happiness
Copy of happiness_hvtt 1.27-00.04.37.706-00.04.43.364-seg6.wav,VNEMOS,8.28,Nữ,,,,Happiness
Copy of happiness_hvtt 2.1-00.00.10.444-00.00.15.557-seg1.wav,VNEMOS,5.74,Nam,,,,Happiness
Copy of happiness_hvtt 2.2-00.00.59.504-00.01.01.375-seg2.wav,VNEMOS,6.59,Nữ,,,,Happiness
Copy of happiness_hvtt 2.2-00.01.15.908-00.01.21.310-seg3.wav,VNEMOS,6.49,Nữ,,,,Happiness
Copy of happiness_hvtt 2.2-00.02.28.059-00.02.33.081-seg5.wav,VNEMOS,5.95,Nam,,,,Happiness
Copy of happiness_hvtt 2.2-00.03.35.879-00.03.41.955-seg6.wav,VNEMOS,7.38,Nữ,,,,Happiness
Copy of sods-t2-1.wav,VNEMOS,11.56,Nam,,,,Neutral
Copy of sods-t2-2.wav,VNEMOS,8.94,Nam,,,,Neutral
Copy of sods-t2-3.wav,VNEMOS,5.92,Nữ,,,,Neutral
Copy of sods-t2-4.wav,VNEMOS,7.36,Nam,,,,Neutral
Copy of sods_t3-2.wav,VNEMOS,09.06,Nam,,,,Neutral
Copy of sods_t3-3.wav,VNEMOS,6.36,Nam,,,,Neutral
Copy of sods_t3-4.wav,VNEMOS,9.73,Nữ,,,,Neutral
Copy of sods_t3-5.wav,VNEMOS,5.55,Nam,,,,Neutral
Copy of sods_t3-7.wav,VNEMOS,4.9,Nữ,,,,Neutral
Copy of sods_t3-8.wav,VNEMOS,12.05,Nam,,,,Neutral
Copy of sods_t3-9.wav,VNEMOS,9.45,Nam,,,,Neutral
Copy of sods_t4-01.wav,VNEMOS,9.43,Nam,,,,Neutral
Copy of sods_t4-02.wav,VNEMOS,6.64,Nam,,,,Neutral
Copy of sods_t4-03.wav,VNEMOS,8.61,Nam,,,,Neutral
Copy of sods_t4-04.wav,VNEMOS,8.89,Nam,,,,Neutral
Copy of sods_t4-05.wav,VNEMOS,06.08,Nam,,,,Neutral
Copy of sods_t4-06.wav,VNEMOS,9.85,Nam,,,,Neutral
Copy of sods_t4-07.wav,VNEMOS,20.87,Nam,,,,Neutral
Copy of sods_t4-08.wav,VNEMOS,9.24,Nữ,,,,Neutral
Copy of sods_t4-10.wav,VNEMOS,8.66,Nữ,,,,Neutral
Copy of sods_t4-12.wav,VNEMOS,4.25,Nam,,,,Neutral
Copy of sods_t4-13.wav,VNEMOS,08.01,Nam,,,,Neutral
Copy of sods_t4-15.wav,VNEMOS,11.94,Nam,,,,Neutral
Copy of sods_t4-16.wav,VNEMOS,14.07,Nam,,,,Neutral
Copy of sods_t4-17.wav,VNEMOS,03.04,Nam,,,,Neutral
Copy of sods_t4-19.wav,VNEMOS,6.99,Nam,,,,Neutral
Copy of sods_t4-20.wav,VNEMOS,4.64,Nam,,,,Neutral
Copy of sods_t4-21.wav,VNEMOS,5.64,Nữ,,,,Neutral
Copy of sods_t4-22.wav,VNEMOS,13.12,Nữ,,,,Neutral
Copy of sods_t4-23.wav,VNEMOS,9.15,Nữ,,,,Neutral
Copy of sods_t4-24.wav,VNEMOS,5.48,Nữ,,,,Neutral
Copy of sods_t4-28.wav,VNEMOS,7.55,Nữ,,,,Neutral
Copy of sods_t4-29.wav,VNEMOS,4.44,Nam,,,,Neutral
Copy of sods_tap1_3.wav,VNEMOS,4.67,Nữ,,,,Neutral
Copy of sods_tap1_4.wav,VNEMOS,6.8,Nam,,,,Neutral
Copy of sods_tap1_5.wav,VNEMOS,10.52,Nữ,,,,Neutral
Copy of sods_tap1_6.wav,VNEMOS,07.04,Nam,,,,Neutral
Copy of sods_tap1_9.wav,VNEMOS,05.06,Nam,,,,Neutral
Copy of 43.Nu(feartap5) (1).wav,VNEMOS,12.06,Nữ,,,,Sadness
Copy of 44.Nu(feartap5) (1).wav,VNEMOS,11.64,Nữ,,,,Sadness
Copy of Cua Lại Vợ Bầu (2019) Full HD - Mới 2023 - Chiếu Rạp-00.15.50.626-00.15.58.276-seg1.wav,VNEMOS,7.66,Nữ,,,,Sadness
Copy of Cua Lại Vợ Bầu (2019) Full HD - Mới 2023 - Chiếu Rạp-00.18.10.403-00.18.21.820-seg2.wav,VNEMOS,11.42,Nữ,,,,Sadness
Copy of Cua Lại Vợ Bầu (2019) Full HD - Mới 2023 - Chiếu Rạp-00.21.40.946-00.21.47.245-seg5.wav,VNEMOS,6.27,Nam,,,,Sadness
Copy of sadness_ctnh 2- 00.06.37.028-00.06.43.760-seg3.wav,VNEMOS,6.73,Nữ,,,,Sadness
Copy of sadness_ctnh 2- 00.06.57.857-00.07.02.212-seg4.wav,VNEMOS,4.37,Nữ,,,,Sadness
Copy of sadness_ctnh 2- 00.42.20.270-00.42.30.706-seg5.wav,VNEMOS,10.43,Nam,,,,Sadness
Copy of sadness_ctnh 3- 00.12.59.183-00.13.11.462-seg1.wav,VNEMOS,12.28,Nữ,,,,Sadness
Copy of sadness_ctnh 3- 00.15.22.045-00.15.52.930-seg2.wav,VNEMOS,30.88,Nữ,,,,Sadness
Copy of sadness_ctnh 3- 00.41.16.946-00.41.28.547-seg3.wav,VNEMOS,11.59,Nam,,,,Sadness
Copy of sadness_ctnh 3- 00.42.05.345-00.42.20.911-seg4.wav,VNEMOS,15.56,Nam,,,,Sadness
Copy of sadness_ctnh 3- 00.42.41.648-00.42.50.864-seg5.wav,VNEMOS,9.22,Nam,,,,Sadness
Copy of sadness_mcc-01.08.57.678-01.09.04.703-seg9.wav,VNEMOS,07.04,Nam,,,,Sadness
Copy of sadness_mcc-01.14.17.255-01.14.22.621-seg10.wav,VNEMOS,5.39,Nam,,,,Sadness
Copy of sadness_mcc-01.26.02.571-01.26.11.403-seg12.wav,VNEMOS,8.82,Nam,,,,Sadness
Copy of sadness_mcc-cut1-00.00.00.000-00.00.07.772-seg1.wav,VNEMOS,7.78,Nữ,,,,Sadness
Copy of sadness_mcc-cut1-00.00.17.289-00.00.23.041-seg3.wav,VNEMOS,6.99,Nữ,,,,Sadness
Copy of sadness_mcc-cut2-00.00.04.301-00.00.10.090-seg2.wav,VNEMOS,8.17,Nữ,,,,Sadness
Copy of sadness_nctb-00.12.03.284-00.12.08.364-seg2.wav,VNEMOS,05.09,Nữ,,,,Sadness
Copy of sadness_nctb-00.26.27.312-00.26.43.920-seg4.wav,VNEMOS,16.63,Nam,,,,Sadness
Copy of sadness_nctb-00.28.50.055-00.29.02.011-seg5.wav,VNEMOS,11.96,Nữ,,,,Sadness
Copy of sadness_nctb-00.41.25.397-00.41.34.789-seg6.wav,VNEMOS,9.38,Nữ,,,,Sadness
Copy of sadness_nctb-00.45.00.997-00.45.06.642-seg10.wav,VNEMOS,5.64,Nữ,,,,Sadness
Copy of sadness_nctb-00.53.14.458-00.53.20.046-seg11.wav,VNEMOS,5.6,Nữ,,,,Sadness
Copy of sadness_nctb-01.07.44.967-01.07.49.899-seg15.wav,VNEMOS,4.92,Nữ,,,,Sadness
Copy of sadness_tiktok12-00.00.00.000-00.00.11.058-seg1 [vocals].wav,VNEMOS,11.08,Nam,,,,Sadness
